"breaks","wool","tension","breaks_level"
26,"A","L","low"
30,"A","L","high"
54,"A","L","high"
25,"A","L","low"
70,"A","L","high"
52,"A","L","high"
51,"A","L","high"
26,"A","L","low"
67,"A","L","high"
18,"A","M","low"
21,"A","M","low"
29,"A","M","high"
17,"A","M","low"
12,"A","M","low"
18,"A","M","low"
35,"A","M","high"
30,"A","M","high"
36,"A","M","high"
36,"A","H","high"
21,"A","H","low"
24,"A","H","low"
18,"A","H","low"
10,"A","H","low"
43,"A","H","high"
28,"A","H","high"
15,"A","H","low"
26,"A","H","low"
27,"B","L","high"
14,"B","L","low"
29,"B","L","high"
19,"B","L","low"
29,"B","L","high"
31,"B","L","high"
41,"B","L","high"
20,"B","L","low"
44,"B","L","high"
42,"B","M","high"
26,"B","M","low"
19,"B","M","low"
16,"B","M","low"
39,"B","M","high"
28,"B","M","high"
21,"B","M","low"
39,"B","M","high"
29,"B","M","high"
20,"B","H","low"
21,"B","H","low"
24,"B","H","low"
17,"B","H","low"
13,"B","H","low"
15,"B","H","low"
15,"B","H","low"
16,"B","H","low"
28,"B","H","high"
